,Product Name,Brand,Price,Rating,Offer,Review Count,Suction Capacity,Size,Offer_clean,Suction_clean,Rating_Performance,suction_bins
292,FABER Hood,FABER,13999,3.7,63% off,139.0,1250 CMH,90.0,63.0,1250.0,Good,1000 - 1500 CMH
293,Kutchina Flashy,Kutchina,12599,4.4,55% off,1.0,1500 CMH,60.0,55.0,1500.0,Excellent,1000 - 1500 CMH
294,Hindware Smart,Hindware,11990,4.2,64% off,13.0,1200 CMH,75.0,64.0,1200.0,Excellent,1000 - 1500 CMH
295,Amplesta Sereno,Amplesta,6898,4.3,18% off,26.0,1350 CMH,60.0,18.0,1350.0,Excellent,1000 - 1500 CMH
296,Amplesta Sereno,Amplesta,3998,4.1,38% off,4.0,1350 CMH,90.0,38.0,1350.0,Excellent,1000 - 1500 CMH
297,FABER HOOD,FABER,13899,4.1,48% off,338.0,1400 CMH,59.0,48.0,1400.0,Excellent,1000 - 1500 CMH
298,Elica FL,Elica,7175,4.4,67% off,18.0,1200 CMH,90.0,67.0,1200.0,Excellent,1000 - 1500 CMH
299,FABER HOOD,FABER,11690,4.2,48% off,17.0,1700 CMH,60.0,48.0,1700.0,Excellent,1500 -2000 CHM
300,Ardnib Beeta,Ardnib,12971,4.1,39% off,5.0,1000 CMH,60.0,39.0,1000.0,Excellent,500 - 1000 CMH
301,Koche ENZO,Koche,17490,4.4,30% off,9.0,1350 CMH,90.0,30.0,1350.0,Excellent,1000 - 1500 CMH
302,Koche ENZO,Koche,7490,3.7,67% off,19.0,800 CMH,60.0,67.0,800.0,Good,500 - 1000 CMH
303,Greenchef BK60CHIMNEY,Greenchef,3695,4.0,67% off,49.0,880 CMH,60.0,67.0,880.0,Good,500 - 1000 CMH
304,HAVELLS GHKCNBNK0,HAVELLS,7498,2.4,65% off,0.0,1200 CMH,56.0,65.0,1200.0,Average,1000 - 1500 CMH
305,Koche STARK,Koche,28340,3.8,66% off,46.0,1350 CMH,60.0,66.0,1350.0,Good,1000 - 1500 CMH
306,Koche LAURA,Koche,4192,4.1,69% off,4.0,1100 CMH,75.0,69.0,1100.0,Excellent,1000 - 1500 CMH
307,IVAS Zyara,IVAS,21419,4.1,64% off,34.0,1100 CMH,90.0,64.0,1100.0,Excellent,1000 - 1500 CMH
308,Omniya Turbo,Omniya,28997,4.6,60% off,34.0,1250 CMH,50.0,60.0,1250.0,Excellent,1000 - 1500 CMH
309,BLOWHOT 60cm,BLOWHOT,15981,4.1,56% off,5.0,2000 CMH,52.0,56.0,2000.0,Excellent,1500 -2000 CHM
310,Gilma Pearl,Gilma,12599,4.2,67% off,1.0,1350 CMH,75.0,67.0,1350.0,Excellent,1000 - 1500 CMH
311,FABER HOOD,FABER,4192,3.8,67% off,594.0,800 CMH,60.0,67.0,800.0,Good,500 - 1000 CMH
312,FABER Hood,FABER,17490,3.7,67% off,46.0,1150 CMH,60.0,67.0,1150.0,Good,1000 - 1500 CMH
313,Hindware Smart,Hindware,3695,4.1,1% off,585.0,1400 CMH,90.0,1.0,1400.0,Excellent,1000 - 1500 CMH
314,LIVPURE LIV,LIVPURE,7675,4.1,67% off,2.0,1300 CMH,75.0,67.0,1300.0,Excellent,1000 - 1500 CMH
315,FABER HOOD,FABER,35331,3.7,58% off,206.0,1250 CMH,60.0,58.0,1250.0,Good,1000 - 1500 CMH
316,FABER Hood,FABER,3578,4.1,49% off,139.0,1500 CMH,90.0,49.0,1500.0,Excellent,1000 - 1500 CMH
317,Glen CH6064AC60,Glen,7399,3.8,67% off,2.0,1350 CMH,90.0,67.0,1350.0,Good,1000 - 1500 CMH
318,Hindware Skyla,Hindware,25199,3.8,63% off,3.0,1200 CMH,60.0,63.0,1200.0,Good,1000 - 1500 CMH
319,Crompton CHD,Crompton,17990,4.0,57% off,34.0,1350 CMH,90.0,57.0,1350.0,Good,1000 - 1500 CMH
320,OMEN BRISTLE,OMEN,13999,4.2,61% off,34.0,1200 CMH,90.0,61.0,1200.0,Excellent,1000 - 1500 CMH
321,Amplesta Sereno,Amplesta,3998,3.7,48% off,26.0,1250 CMH,60.0,48.0,1250.0,Good,1000 - 1500 CMH
322,Amplesta Sereno,Amplesta,17290,3.7,67% off,4.0,1350 CMH,90.0,67.0,1350.0,Good,1000 - 1500 CMH
323,Glen CH,Glen,6371,4.0,24% off,0.0,1408 CMH,90.0,24.0,1408.0,Good,1000 - 1500 CMH
324,Hindware KYLIS,Hindware,19761,4.1,49% off,5.0,1250 CMH,108.0,49.0,1250.0,Excellent,1000 - 1500 CMH
325,Koche ENZO,Koche,4499,4.3,50% off,9.0,1350 CMH,60.0,50.0,1350.0,Excellent,1000 - 1500 CMH
326,Koche STARK,Koche,17490,4.1,49% off,19.0,1350 CMH,90.0,49.0,1350.0,Excellent,1000 - 1500 CMH
327,PADMINI HYPERVENT,PADMINI,7490,4.6,30% off,34.0,1250 CMH,60.0,30.0,1250.0,Excellent,1000 - 1500 CMH
328,FULTON T,FULTON,11388,4.1,67% off,9.0,1350 CMH,90.0,67.0,1350.0,Excellent,1000 - 1500 CMH
329,Glen Sail,Glen,14899,4.0,68% off,80.0,1200 CMH,5.0,68.0,1200.0,Good,1000 - 1500 CMH
330,MarQ by,MarQ,28340,4.1,50% off,1.0,1400 CMH,90.0,50.0,1400.0,Excellent,1000 - 1500 CMH
331,RUWA VIVA,RUWA,7199,3.8,64% off,594.0,800 CMH,60.0,64.0,800.0,Good,500 - 1000 CMH
332,Amplesta Sereno,Amplesta,7898,3.7,60% off,4.0,1350 CMH,90.0,60.0,1350.0,Good,1000 - 1500 CMH
333,LIVPURE LIV,LIVPURE,11970,3.3,49% off,328.0,1250 CMH,60.0,49.0,1250.0,Good,1000 - 1500 CMH
334,Elica FL,Elica,19590,4.3,24% off,34.0,1350 CMH,90.0,24.0,1350.0,Excellent,1000 - 1500 CMH
335,Hindware Smart,Hindware,21290,4.1,60% off,46.0,1450 CMH,90.0,60.0,1450.0,Excellent,1000 - 1500 CMH
336,Amplesta Sereno,Amplesta,6576,3.7,33% off,206.0,1150 CMH,75.0,33.0,1150.0,Good,1000 - 1500 CMH
337,RUWA PEARL,RUWA,6708,3.9,67% off,2.0,1250 CMH,60.0,67.0,1250.0,Good,1000 - 1500 CMH
338,Carysil KIA,Carysil,6576,4.1,67% off,2.0,1400 CMH,90.0,67.0,1400.0,Excellent,1000 - 1500 CMH
339,Kaff NERO,Kaff,35331,4.3,1% off,7.0,Suction Capacity: 1080 m³/h,65.0,1.0,1080.0,Excellent,1000 - 1500 CMH
340,HAVELLS GHKCNAXK000,HAVELLS,17490,3.4,60% off,34.0,750 CMH,60.0,60.0,750.0,Good,500 - 1000 CMH
341,Amplesta EcoFlow,Amplesta,14899,4.3,67% off,46.0,1350 CMH,60.0,67.0,1350.0,Excellent,1000 - 1500 CMH
342,FABER Hood,FABER,25199,4.1,63% off,139.0,1000 CMH,60.0,63.0,1000.0,Excellent,500 - 1000 CMH
343,Sunflame Venza,Sunflame,29500,4.3,55% off,28.0,1100 CMH,60.0,55.0,1100.0,Excellent,1000 - 1500 CMH
344,Greenchef Range,Greenchef,35331,4.7,54% off,9.0,1250 CMH,60.0,54.0,1250.0,Excellent,1000 - 1500 CMH
345,FABER HOOD,FABER,3578,4.4,24% off,26.0,1500 CMH,90.0,24.0,1500.0,Excellent,1000 - 1500 CMH
346,FABER Hood,FABER,10490,3.7,66% off,4.0,1350 CMH,75.0,66.0,1350.0,Good,1000 - 1500 CMH
347,Hindware ZINNIA,Hindware,21169,2.5,48% off,43.0,1350 CMH,75.0,48.0,1350.0,Average,1000 - 1500 CMH
348,Hindware Oasis,Hindware,10199,4.2,67% off,1.0,1200 CMH,90.0,67.0,1200.0,Excellent,1000 - 1500 CMH
349,Kaff VASCO,Kaff,11199,3.5,44% off,11.0,1250 CMH,60.0,44.0,1250.0,Good,1000 - 1500 CMH
350,Greenchef Range,Greenchef,3599,4.1,64% off,34.0,1550 CMH,60.0,64.0,1550.0,Excellent,1500 -2000 CHM
